"AGE"	"POP"	"time"	"SEX"
0	-572954	2010	"Male"
1	-581748	2010	"Male"
2	-585239	2010	"Male"
3	-582223	2010	"Male"
4	-568788	2010	"Male"
5	-571899	2010	"Male"
6	-590530	2010	"Male"
7	-602349	2010	"Male"
8	-612527	2010	"Male"
9	-620373	2010	"Male"
10	-619459	2010	"Male"
11	-657577	2010	"Male"
12	-660745	2010	"Male"
13	-662033	2010	"Male"
14	-674129	2010	"Male"
15	-677114	2010	"Male"
16	-625888	2010	"Male"
17	-619600	2010	"Male"
18	-630389	2010	"Male"
19	-618068	2010	"Male"
20	-609281	2010	"Male"
21	-620004	2010	"Male"
22	-647687	2010	"Male"
23	-670543	2010	"Male"
24	-688413	2010	"Male"
25	-711549	2010	"Male"
26	-731136	2010	"Male"
27	-734791	2010	"Male"
28	-737263	2010	"Male"
29	-756566	2010	"Male"
30	-791118	2010	"Male"
31	-777633	2010	"Male"
32	-805757	2010	"Male"
33	-828881	2010	"Male"
34	-856998	2010	"Male"
35	-906511	2010	"Male"
36	-969013	2010	"Male"
37	-972824	2010	"Male"
38	-950277	2010	"Male"
39	-926304	2010	"Male"
40	-901582	2010	"Male"
41	-903751	2010	"Male"
42	-884824	2010	"Male"
43	-831658	2010	"Male"
44	-735217	2010	"Male"
45	-844396	2010	"Male"
46	-816296	2010	"Male"
47	-793764	2010	"Male"
48	-770946	2010	"Male"
49	-769802	2010	"Male"
50	-776564	2010	"Male"
51	-790779	2010	"Male"
52	-769151	2010	"Male"
53	-761205	2010	"Male"
54	-799720	2010	"Male"
55	-820850	2010	"Male"
56	-835749	2010	"Male"
57	-881619	2010	"Male"
58	-927931	2010	"Male"
59	-984969	2010	"Male"
60	-1058368	2010	"Male"
61	-1127634	2010	"Male"
62	-1102575	2010	"Male"
63	-962423	2010	"Male"
64	-680442	2010	"Male"
65	-743952	2010	"Male"
66	-838621	2010	"Male"
67	-818876	2010	"Male"
68	-824557	2010	"Male"
69	-781525	2010	"Male"
70	-696120	2010	"Male"
71	-609756	2010	"Male"
72	-635222	2010	"Male"
73	-637046	2010	"Male"
74	-612597	2010	"Male"
75	-568024	2010	"Male"
76	-530696	2010	"Male"
77	-510183	2010	"Male"
78	-481696	2010	"Male"
79	-442257	2010	"Male"
80	-402235	2010	"Male"
81	-369096	2010	"Male"
82	-335362	2010	"Male"
83	-300441	2010	"Male"
84	-263182	2010	"Male"
85	-219904	2010	"Male"
86	-175269	2010	"Male"
87	-139635	2010	"Male"
88	-114169	2010	"Male"
89	-94757	2010	"Male"
90	-79944	2010	"Male"
91	-58080	2010	"Male"
92	-48667	2010	"Male"
93	-39006	2010	"Male"
94	-30445	2010	"Male"
95	-22788	2010	"Male"
96	-16812	2010	"Male"
97	-11712	2010	"Male"
98	-7860	2010	"Male"
99	-5015	2010	"Male"
100	-7508	2010	"Male"
0	-562900	2011	"Male"
1	-571736	2011	"Male"
2	-580541	2011	"Male"
3	-584104	2011	"Male"
4	-581105	2011	"Male"
5	-567830	2011	"Male"
6	-571247	2011	"Male"
7	-589884	2011	"Male"
8	-601709	2011	"Male"
9	-611882	2011	"Male"
10	-619811	2011	"Male"
11	-619062	2011	"Male"
12	-657180	2011	"Male"
13	-660336	2011	"Male"
14	-661608	2011	"Male"
